Content
"""hey we just made a big play and we have momentum!""

""sweet let's try this wild triple reverse halfback throw I dreamed about last night"""
again with the funky stuff when its completely unnecessary
"so... OU is missing tackles again, huh? 🙃"
Let’s Bedlam pic.twitter.com/9hWLbKs4LZ
Read about Marcus Stroman opting out of the final year of his contract with Cubs. @JonHeyman was first to report the decision. chicago.suntimes.com/cubs/2023/11/4…
"The OKC Blue acquired Noah Starkey (via @The_ThunderWire):
okcthunderwire.usatoday.com/2023/11/04/okc…"
The Oklahoma City Blue has acquired center Noah Starkey
Marcus Stroman posted to his Instagram story: instagram.com/stroman?igshid… pic.twitter.com/1HbcsdfKx5
Starbucks Holiday cups are here. We have never been more back than we are right now. pic.twitter.com/RlLa2MEAGB
Bally Sports+ subscribers: check your email. pic.twitter.com/kQcOBAbSZv
Bally Sports has sent an email to all costumers after a disastrous week. pic.twitter.com/0hJINNdEBa
"'He's gonna be a problem for a long time': Draymond Green compliments Chet Holmgren (via @The_ThunderWire):
okcthunderwire.usatoday.com/2023/11/04/hes…"
"Here's how NBA Twitter reacted to the Thunder's in-season tournament court (via @TheWarriorsWire):
warriorswire.usatoday.com/lists/nba-twit…"
"Steve Kerr spoke highly of the Thunder’s young core (via @The_ThunderWire):

okcthunderwire.usatoday.com/2023/11/04/okc…"
"The best tweets reacting to the controversial overturned call in the Thunder's 141-139 loss to the Warriors (via @The_ThunderWire):
okcthunderwire.usatoday.com/lists/social-m…"
"ICYMI:

Player grades for the Thunder's 141-139 loss to the Warriors on Friday (via @The_ThunderWire):
okcthunderwire.usatoday.com/lists/player-g…"
"The best photos from the Thunder's 141-139 loss to the Warriors (via @The_ThunderWire):
okcthunderwire.usatoday.com/lists/photos-b…"
"Chet Holmgren tonight

24 PTS
7-9 FG
2-2 3PT
8-8 FT
8 REB
5 AST
1 STL
1 BLK pic.twitter.com/Oa6CbjGHeW"
Draymond lmao pic.twitter.com/cmll61xhWV
"Player grades for the Thunder's 141-139 loss to the Warriors (via @The_ThunderWire):
okcthunderwire.usatoday.com/lists/player-g…"
Official Pool Report for the controversial Thunder vs Warriors ending: pic.twitter.com/1KjsUVK2JZ
Pool Report for the Thunder Warriors controversy conducted by @jxlorenzi pic.twitter.com/sLowLChvZ3
Pool report for tonight’s Warriors vs. Thunder game: pic.twitter.com/vDmZomVK00
Is it wrong to admit I still don't know what the hell happened on that final play
What I’ve learned tonight is the NBA basket interference rules are as clear pick up hoops rules when the ball hits the top of the backboard.
Lu Dort said the first ever in-season tournament game felt a little different than just a normal regular season game.
Chet Holmgren on Steph Curry “It’s a cool first full circle moment. Going to his game however many years ago it was” mentioned it’s cool now being on the NBA floor competing against him. He added the Warriors are up 1-0 in that battle.
Josh Giddey acknowledged he has to get more aggressive earlier in games he can not keep waiting for the fourth quarter to get aggressive “I have to be better in that aspect”
"Chet Holmgren jumped in unprompted after Josh Giddey gave an answer:

“He had a huge 4th quarter. I don’t want that to go under the bus…

I want that to get attention. This is a tough dude. I don’t know what neighborhood from Australia he’s from but…”"
"Chet Holmgren “[Josh Giddey] had a huge fourth quarter. I don’t want that to go under the bus.” Said without Josh’s 4th it wouldn’t have even been a close game, even made a joke “I don’t know what neighborhood [Josh Giddey] is from in Australia…but he is tough”"
"Chet Holmgren on Josh Giddey: ""I don't know what neighborhood he's from in Australia, but he's a tough dude."""
"Josh Giddey on the final bucket: “At the end of the day, I don’t think it should’ve came down to that for us.”"
Chet Holmgren said he is fine after taking an Elbow to the face from Draymond Green a “high level competitor” said they both love to compete.
"Mark Daigneault said that on the controversial game winning bucket, he was told no the refs that Draymond Green touched the rim but not enough to impact the play. pic.twitter.com/L23ARDm73d"
Chet Holmgren is here for his post game presser he has the Steph Curry jersey the two swapped post game. pic.twitter.com/kLWXX0KF7v
Chet & Giddey are here pic.twitter.com/yB0buZm9Mh
Mark Daigneault on Lu Dort: “He’s a gamer man. He just has a knack for rising to the level of the game. He’s always there.”
"Controversial ending aside…

Truly impressive game from this OKC team.

No SGA.

JDub fouls out.

Came down to one contentious bucket at the buzzer.

Dort/Chet/Giddey/JDub/Cason/Joe were excellent tonight.

Showed the potential of this core maybe more than any game this season."
Chet Holmgren and Steph Curry exchange jerseys pic.twitter.com/WJG7TiHijq
Mood. pic.twitter.com/WaK3ftshsA
"Paycom Center’s reaction to the biggest FTs of Chet’s career. Gave OKC the lead for the moment, GSW got it back. Shot clock turned off with OKC down 1 and 21 ticks left in this one. pic.twitter.com/AJlFmyDMNy"
"Looks like Draymond Green pushes Josh Giddey’s hand into the net for those wondering about Giddey touching the net:
 pic.twitter.com/xll0U21rOz"
