,group_name,year_month,negative %,neutral %,positive %
0,AtlantaHawks,2020-07,9.661354581673306,67.23107569721115,23.107569721115535
1,AtlantaHawks,2020-08,11.016949152542372,58.47457627118644,30.508474576271187
2,AtlantaHawks,2020-09,2.272727272727273,70.45454545454545,27.27272727272727
3,BostonCeltics,2020-07,2.28287841191067,82.65508684863524,15.062034739454095
4,BostonCeltics,2020-08,10.227272727272728,59.19421487603306,30.57851239669421
5,BostonCeltics,2020-09,17.7732379979571,46.782431052093976,35.44433094994893
6,BrooklynNets,2020-07,5.590062111801243,70.61335403726709,23.796583850931675
7,BrooklynNets,2020-08,11.847672778561353,53.17348377997179,34.97884344146686
8,BrooklynNets,2020-09,13.333333333333334,56.16161616161616,30.50505050505051
9,CharlotteHornets,2020-07,0.9836065573770493,61.63934426229508,37.37704918032787
10,CharlotteHornets,2020-08,9.210526315789473,61.8421052631579,28.947368421052634
11,CharlotteHornets,2020-09,3.7037037037037033,62.96296296296296,33.33333333333333
12,ChicagoBulls,2020-07,5.545335085413929,69.3035479632063,25.151116951379766
13,ChicagoBulls,2020-08,6.104417670682731,73.33333333333333,20.562248995983936
14,ChicagoBulls,2020-09,3.0425963488843815,79.3103448275862,17.647058823529413
15,ClevelandCavaliers,2020-07,1.0276679841897234,66.08695652173913,32.88537549407115
16,ClevelandCavaliers,2020-08,5.0,77.5,17.5
17,ClevelandCavaliers,2020-09,13.88888888888889,61.111111111111114,25.0
18,DallasMavericks,2020-07,6.3911845730027546,58.56749311294765,35.04132231404959
19,DallasMavericks,2020-08,19.607843137254903,41.52840623428859,38.863750628456515
20,DallasMavericks,2020-09,16.822429906542055,46.728971962616825,36.44859813084112
21,DenverNuggets,2020-07,9.148665819567979,68.99618805590852,21.855146124523507
22,DenverNuggets,2020-08,10.550458715596331,51.949541284403665,37.5
23,DenverNuggets,2020-09,17.342879872712807,41.48766905330151,41.16945107398568
24,DetroitPistons,2020-07,11.090573012939002,54.62107208872459,34.288354898336415
25,DetroitPistons,2020-08,7.874015748031496,76.37795275590551,15.748031496062993
26,DetroitPistons,2020-09,8.16326530612245,69.38775510204081,22.448979591836736
27,GoldenStateWarriors,2020-07,12.536873156342182,71.7551622418879,15.70796460176991
28,GoldenStateWarriors,2020-08,6.726457399103139,73.54260089686099,19.730941704035875
29,GoldenStateWarriors,2020-09,5.319148936170213,65.95744680851064,28.723404255319153
30,HoustonRockets,2020-07,11.825980392156863,61.12132352941176,27.05269607843137
31,HoustonRockets,2020-08,18.05157593123209,48.42406876790831,33.5243553008596
32,HoustonRockets,2020-09,27.124505928853754,47.33201581027668,25.543478260869566
33,IndianaPacers,2020-07,4.087591240875913,75.18248175182481,20.72992700729927
34,IndianaPacers,2020-08,8.680555555555555,66.66666666666666,24.65277777777778
35,IndianaPacers,2020-09,3.0303030303030303,81.81818181818183,15.151515151515152
